ResolvedPersonID,n_cases,dominant_mo_phrase,mo_consistency,n_districts_with_dominant_mo
68,2,The accused approached the victim through a fake social media profile.,0.5,1
69,42,The accused was known to the victim through a prior personal dispute.,0.262,1
70,1,The accused targeted unattended shops during the late-night hours.,1.0,1
71,3,"The accused worked in a group of two, one keeping watch while the other broke in.",0.667,2
72,1,The accused used a two-wheeler to approach and flee the scene rapidly.,1.0,1
73,17,The accused was known to the victim through a prior personal dispute.,0.235,1
74,1,The accused used a two-wheeler to approach and flee the scene rapidly.,1.0,1
75,1,The accused targeted unattended shops during the late-night hours.,1.0,1
76,1,The accused acted as part of an organized group during the incident.,1.0,1
78,1,The accused acted as part of an organized group during the incident.,1.0,1
79,1,The accused lured the victim on the pretext of a job offer.,1.0,1
81,2,The accused posed as a bank/delivery representative to gain the victim's trust.,1.0,2
82,1,The accused posed as a bank/delivery representative to gain the victim's trust.,1.0,1
83,48,The accused used a two-wheeler to approach and flee the scene rapidly.,0.208,1
84,1,The accused used a concealed compartment in the vehicle to transport the contraband.,1.0,1
85,13,The accused used a rented vehicle with tampered number plates to transport stolen goods.,0.308,2
86,48,The accused used a duplicate key/lock-picking method to gain entry.,0.229,2
87,1,The accused gained entry through a rear window left unlatched.,1.0,1
88,1,The accused gained entry through a rear window left unlatched.,1.0,1
89,1,The accused posed as a bank/delivery representative to gain the victim's trust.,1.0,1
91,1,The accused waylaid the victim along a known secluded route.,1.0,1
95,1,The accused posed as a bank/delivery representative to gain the victim's trust.,1.0,1
96,1,The accused posed as a bank/delivery representative to gain the victim's trust.,1.0,1
97,1,The accused posed as a bank/delivery representative to gain the victim's trust.,1.0,1
99,1,The accused lured the victim on the pretext of a job offer.,1.0,1
100,2,The accused posed as a bank/delivery representative to gain the victim's trust.,0.5,1
101,2,The accused posed as a bank/delivery representative to gain the victim's trust.,0.5,1
102,3,The accused used a rented vehicle with tampered number plates to transport stolen goods.,0.333,1
103,1,The accused approached the victim through a fake social media profile.,1.0,1
104,2,The accused was found in possession of the contraband during a routine check.,0.5,1
105,1,The accused was found in possession of the contraband during a routine check.,1.0,1
106,39,"The accused worked in a group of two, one keeping watch while the other broke in.",0.154,1
107,49,The accused wore a helmet throughout to avoid CCTV identification.,0.204,1
108,2,The accused used a rented vehicle with tampered number plates to transport stolen goods.,0.5,1
110,2,The accused used a rented vehicle with tampered number plates to transport stolen goods.,0.5,1
111,1,The accused used a duplicate key/lock-picking method to gain entry.,1.0,1
112,1,The accused gained entry through a rear window left unlatched.,1.0,1
113,2,The accused used a spoofed phone number to contact the victim.,0.5,1
114,1,The accused used a spoofed phone number to contact the victim.,1.0,1
115,1,The accused used a spoofed phone number to contact the victim.,1.0,1
116,2,The accused approached the victim through a fake social media profile.,0.5,1
117,1,The accused approached the victim through a fake social media profile.,1.0,1
118,1,The accused approached the victim through a fake social media profile.,1.0,1
119,1,The accused approached the victim through a fake social media profile.,1.0,1
120,2,The accused wore a helmet throughout to avoid CCTV identification.,0.5,1
121,57,The accused gained entry through a rear window left unlatched.,0.211,2
123,1,The accused targeted unattended shops during the late-night hours.,1.0,1
124,50,The accused was known to the victim through a prior personal dispute.,0.16,1
125,2,The accused was known to the victim through a prior personal dispute.,0.5,1
126,2,The accused used a concealed compartment in the vehicle to transport the contraband.,0.5,1
127,1,"The accused worked in a group of two, one keeping watch while the other broke in.",1.0,1
128,1,The accused approached the victim through a fake social media profile.,1.0,1
131,1,The accused used a duplicate key/lock-picking method to gain entry.,1.0,1
132,2,The accused operated in daylight hours near crowded public spaces.,0.5,1
133,3,The accused operated in daylight hours near crowded public spaces.,0.667,2
134,17,The accused targeted unattended shops during the late-night hours.,0.412,6
135,1,The accused approached the victim through a fake social media profile.,1.0,1
136,6,The accused was known to the victim through a prior personal dispute.,0.333,1
137,2,The accused was a person known to the victim's family.,0.5,1
138,44,The accused used a duplicate key/lock-picking method to gain entry.,0.159,2
140,2,The accused acted as part of an organized group during the incident.,0.5,1
142,1,The accused posed as a bank/delivery representative to gain the victim's trust.,1.0,1
143,1,The accused posed as a bank/delivery representative to gain the victim's trust.,1.0,1
146,2,The accused used a two-wheeler to approach and flee the scene rapidly.,0.5,1
148,1,The accused used a two-wheeler to approach and flee the scene rapidly.,1.0,1
149,1,The accused used a two-wheeler to approach and flee the scene rapidly.,1.0,1
152,1,The accused wore a helmet throughout to avoid CCTV identification.,1.0,1
153,1,The accused operated using a fraudulent online payment link.,1.0,1
156,1,The accused gained entry through a rear window left unlatched.,1.0,1
157,1,The accused gained entry through a rear window left unlatched.,1.0,1
158,1,The accused operated using a fraudulent online payment link.,1.0,1
159,54,The accused used a spoofed phone number to contact the victim.,0.204,2
160,35,The accused was a person known to the victim's family.,0.2,1
161,1,"The accused worked in a group of two, one keeping watch while the other broke in.",1.0,1
162,1,The accused posed as a bank/delivery representative to gain the victim's trust.,1.0,1
163,1,The accused posed as a bank/delivery representative to gain the victim's trust.,1.0,1
165,1,The accused approached the victim through a fake social media profile.,1.0,1
166,1,The accused approached the victim through a fake social media profile.,1.0,1
168,1,The accused used a rented vehicle with tampered number plates to transport stolen goods.,1.0,1
169,1,The accused used a rented vehicle with tampered number plates to transport stolen goods.,1.0,1
171,11,"The accused worked in a group of two, one keeping watch while the other broke in.",0.364,1
172,43,The accused targeted unattended shops during the late-night hours.,0.279,3
173,56,The accused used a duplicate key/lock-picking method to gain entry.,0.214,1
176,17,The accused targeted unattended shops during the late-night hours.,0.294,3
177,42,The accused gained entry through a rear window left unlatched.,0.19,1
179,1,The accused gained entry through a rear window left unlatched.,1.0,1
180,2,The accused gained entry through a rear window left unlatched.,0.5,1
181,1,The accused was known to the victim through a prior personal dispute.,1.0,1
183,40,The accused used a two-wheeler to approach and flee the scene rapidly.,0.225,1
184,1,The accused used a two-wheeler to approach and flee the scene rapidly.,1.0,1
185,2,The accused used a two-wheeler to approach and flee the scene rapidly.,0.5,1
186,1,The accused approached the victim through a fake social media profile.,1.0,1
187,1,The accused approached the victim through a fake social media profile.,1.0,1
188,1,The accused gained entry through a rear window left unlatched.,1.0,1
189,2,The accused used a duplicate key/lock-picking method to gain entry.,0.5,1
190,1,The accused used a duplicate key/lock-picking method to gain entry.,1.0,1
191,17,The accused used a duplicate key/lock-picking method to gain entry.,0.235,2
195,5,The accused used a two-wheeler to approach and flee the scene rapidly.,0.2,1
196,1,The accused used a two-wheeler to approach and flee the scene rapidly.,1.0,1
198,1,The accused used a rented vehicle with tampered number plates to transport stolen goods.,1.0,1
199,1,The accused targeted unattended shops during the late-night hours.,1.0,1
200,1,The accused targeted unattended shops during the late-night hours.,1.0,1
201,1,The accused gained entry through a rear window left unlatched.,1.0,1
204,1,The accused was a person known to the victim's family.,1.0,1
205,1,The accused was a person known to the victim's family.,1.0,1
206,1,The accused targeted unattended shops during the late-night hours.,1.0,1
207,1,The accused targeted unattended shops during the late-night hours.,1.0,1
208,1,"The accused worked in a group of two, one keeping watch while the other broke in.",1.0,1
210,35,The accused gained entry through a rear window left unlatched.,0.343,1
213,9,The accused used a two-wheeler to approach and flee the scene rapidly.,0.333,3
214,1,The accused acted as part of an organized group during the incident.,1.0,1
216,1,"The accused worked in a group of two, one keeping watch while the other broke in.",1.0,1
217,46,The accused was found in possession of the contraband during a routine check.,0.152,2
220,38,The accused used a duplicate key/lock-picking method to gain entry.,0.395,1
222,1,The accused targeted unattended shops during the late-night hours.,1.0,1
223,1,The accused used a rented vehicle with tampered number plates to transport stolen goods.,1.0,1
225,1,The accused used a two-wheeler to approach and flee the scene rapidly.,1.0,1
226,43,The accused used a duplicate key/lock-picking method to gain entry.,0.256,1
227,1,The accused used a two-wheeler to approach and flee the scene rapidly.,1.0,1
228,1,The accused operated in daylight hours near crowded public spaces.,1.0,1
229,1,The accused operated in daylight hours near crowded public spaces.,1.0,1
230,1,The accused operated in daylight hours near crowded public spaces.,1.0,1
231,13,The accused gained entry through a rear window left unlatched.,0.462,3
232,2,The accused was a person known to the victim's family.,1.0,1
233,1,The accused operated in daylight hours near crowded public spaces.,1.0,1
234,44,The accused targeted unattended shops during the late-night hours.,0.182,1
236,1,The accused approached the victim through a fake social media profile.,1.0,1
237,1,The accused operated in daylight hours near crowded public spaces.,1.0,1
238,2,The accused operated in daylight hours near crowded public spaces.,0.5,1
239,1,The accused operated in daylight hours near crowded public spaces.,1.0,1
240,1,The accused used a rented vehicle with tampered number plates to transport stolen goods.,1.0,1
242,1,The accused used a spoofed phone number to contact the victim.,1.0,1
243,1,The accused targeted unattended shops during the late-night hours.,1.0,1
245,1,The accused targeted unattended shops during the late-night hours.,1.0,1
247,1,The accused used a spoofed phone number to contact the victim.,1.0,1
249,1,The accused was a person known to the victim's family.,1.0,1
250,11,The accused used a duplicate key/lock-picking method to gain entry.,0.182,1
251,1,"The accused worked in a group of two, one keeping watch while the other broke in.",1.0,1
252,1,The accused gained entry through a rear window left unlatched.,1.0,1
253,1,The accused gained entry through a rear window left unlatched.,1.0,1
256,1,The accused was known to the victim through a prior personal dispute.,1.0,1
257,1,The accused was known to the victim through a prior personal dispute.,1.0,1
258,50,The accused gained entry through a rear window left unlatched.,0.26,4
259,1,The accused gained entry through a rear window left unlatched.,1.0,1
261,1,The accused targeted unattended shops during the late-night hours.,1.0,1
264,1,The accused approached the victim through a fake social media profile.,1.0,1
265,1,The accused approached the victim through a fake social media profile.,1.0,1
266,2,The accused approached the victim through a fake social media profile.,0.5,1
267,1,The accused used a two-wheeler to approach and flee the scene rapidly.,1.0,1
268,2,The accused used a two-wheeler to approach and flee the scene rapidly.,0.5,1
269,1,The accused used a two-wheeler to approach and flee the scene rapidly.,1.0,1
270,1,The accused posed as a bank/delivery representative to gain the victim's trust.,1.0,1
272,1,The accused posed as a bank/delivery representative to gain the victim's trust.,1.0,1
274,48,The accused was known to the victim through a prior personal dispute.,0.167,3
275,2,The accused used a two-wheeler to approach and flee the scene rapidly.,0.5,1
277,1,The accused was found in possession of the contraband during a routine check.,1.0,1
278,1,The accused gained entry through a rear window left unlatched.,1.0,1
281,1,The accused acted as part of an organized group during the incident.,1.0,1
282,43,The accused operated using a fraudulent online payment link.,0.233,2
283,1,The accused used a spoofed phone number to contact the victim.,1.0,1
284,1,The accused approached the victim through a fake social media profile.,1.0,1
285,1,The accused approached the victim through a fake social media profile.,1.0,1
286,2,The accused approached the victim through a fake social media profile.,0.5,1
287,2,The accused was a person known to the victim's family.,0.5,1
288,1,The accused was a person known to the victim's family.,1.0,1
289,56,The accused wore a helmet throughout to avoid CCTV identification.,0.214,1
290,1,The accused targeted unattended shops during the late-night hours.,1.0,1
292,3,The accused posed as a bank/delivery representative to gain the victim's trust.,0.667,2
293,1,The accused posed as a bank/delivery representative to gain the victim's trust.,1.0,1
294,1,The accused used a spoofed phone number to contact the victim.,1.0,1
296,2,The accused gained entry through a rear window left unlatched.,0.5,1
297,1,The accused gained entry through a rear window left unlatched.,1.0,1
298,31,The accused gained entry through a rear window left unlatched.,0.194,1
300,1,The accused posed as a bank/delivery representative to gain the victim's trust.,1.0,1
301,1,The accused posed as a bank/delivery representative to gain the victim's trust.,1.0,1
302,1,The accused posed as a bank/delivery representative to gain the victim's trust.,1.0,1
303,1,The accused gained entry through a rear window left unlatched.,1.0,1
304,2,The accused used a duplicate key/lock-picking method to gain entry.,1.0,2
305,1,The accused used a rented vehicle with tampered number plates to transport stolen goods.,1.0,1
306,1,The accused operated in daylight hours near crowded public spaces.,1.0,1
307,29,The accused waylaid the victim along a known secluded route.,0.207,1
308,2,The accused operated in daylight hours near crowded public spaces.,0.5,1
309,1,The accused gained entry through a rear window left unlatched.,1.0,1
311,1,The accused gained entry through a rear window left unlatched.,1.0,1
312,1,The accused gained entry through a rear window left unlatched.,1.0,1
313,18,The accused used a rented vehicle with tampered number plates to transport stolen goods.,0.222,1
314,1,The accused targeted unattended shops during the late-night hours.,1.0,1
315,1,The accused targeted unattended shops during the late-night hours.,1.0,1
317,1,The accused was a person known to the victim's family.,1.0,1
319,15,The accused used a spoofed phone number to contact the victim.,0.267,2
320,1,The accused used a spoofed phone number to contact the victim.,1.0,1
321,1,The accused used a duplicate key/lock-picking method to gain entry.,1.0,1
323,1,The accused used a duplicate key/lock-picking method to gain entry.,1.0,1
327,2,The accused was a person known to the victim's family.,0.5,1
328,1,The accused used a two-wheeler to approach and flee the scene rapidly.,1.0,1
329,1,The accused waylaid the victim along a known secluded route.,1.0,1
330,1,The accused gained entry through a rear window left unlatched.,1.0,1
331,22,The accused targeted unattended shops during the late-night hours.,0.409,3
332,1,The accused gained entry through a rear window left unlatched.,1.0,1
333,1,The accused gained entry through a rear window left unlatched.,1.0,1
334,1,The accused acted as part of an organized group during the incident.,1.0,1
336,1,The accused waylaid the victim along a known secluded route.,1.0,1
337,1,The accused wore a helmet throughout to avoid CCTV identification.,1.0,1
338,2,The accused was known to the victim through a prior personal dispute.,0.5,1
339,20,The accused targeted unattended shops during the late-night hours.,0.2,1
340,1,The accused used a duplicate key/lock-picking method to gain entry.,1.0,1
341,1,The accused approached the victim through a fake social media profile.,1.0,1
343,1,The accused approached the victim through a fake social media profile.,1.0,1
344,2,The accused approached the victim through a fake social media profile.,0.5,1
346,1,The accused used a spoofed phone number to contact the victim.,1.0,1
347,48,The accused operated using a fraudulent online payment link.,0.229,1
348,39,The accused lured the victim on the pretext of a job offer.,0.231,1
349,1,The accused used a two-wheeler to approach and flee the scene rapidly.,1.0,1
350,2,"The accused worked in a group of two, one keeping watch while the other broke in.",0.5,1
351,51,The accused used a duplicate key/lock-picking method to gain entry.,0.431,2
352,1,The accused gained entry through a rear window left unlatched.,1.0,1
353,1,The accused gained entry through a rear window left unlatched.,1.0,1
354,1,The accused was found in possession of the contraband during a routine check.,1.0,1
355,1,The accused was found in possession of the contraband during a routine check.,1.0,1
356,1,The accused wore a helmet throughout to avoid CCTV identification.,1.0,1
357,1,The accused gained entry through a rear window left unlatched.,1.0,1
359,1,The accused gained entry through a rear window left unlatched.,1.0,1
362,1,The accused gained entry through a rear window left unlatched.,1.0,1
363,2,The accused targeted unattended shops during the late-night hours.,0.5,1
365,1,The accused used a duplicate key/lock-picking method to gain entry.,1.0,1
369,1,The accused was known to the victim through a prior personal dispute.,1.0,1
370,3,"The accused worked in a group of two, one keeping watch while the other broke in.",0.667,2
371,1,The accused used a rented vehicle with tampered number plates to transport stolen goods.,1.0,1
372,2,The accused approached the victim through a fake social media profile.,0.5,1
373,7,The accused used a concealed compartment in the vehicle to transport the contraband.,0.286,1
374,3,The accused approached the victim through a fake social media profile.,0.333,1
375,46,The accused wore a helmet throughout to avoid CCTV identification.,0.196,1
377,5,The accused used a duplicate key/lock-picking method to gain entry.,0.4,1
378,1,"The accused worked in a group of two, one keeping watch while the other broke in.",1.0,1
379,1,The accused used a spoofed phone number to contact the victim.,1.0,1
381,1,The accused used a duplicate key/lock-picking method to gain entry.,1.0,1
382,49,The accused was known to the victim through a prior personal dispute.,0.143,1
383,5,The accused waylaid the victim along a known secluded route.,0.4,2
384,1,The accused posed as a bank/delivery representative to gain the victim's trust.,1.0,1
385,1,The accused used a spoofed phone number to contact the victim.,1.0,1
387,1,The accused was a person known to the victim's family.,1.0,1
388,1,The accused used a spoofed phone number to contact the victim.,1.0,1
389,1,The accused was a person known to the victim's family.,1.0,1
391,1,The accused targeted unattended shops during the late-night hours.,1.0,1
394,1,The accused posed as a bank/delivery representative to gain the victim's trust.,1.0,1
395,1,The accused was a person known to the victim's family.,1.0,1
399,19,The accused was known to the victim through a prior personal dispute.,0.368,2
400,2,The accused used a two-wheeler to approach and flee the scene rapidly.,0.5,1
403,1,The accused was a person known to the victim's family.,1.0,1
404,1,The accused was a person known to the victim's family.,1.0,1
405,1,The accused was a person known to the victim's family.,1.0,1
406,1,The accused used a duplicate key/lock-picking method to gain entry.,1.0,1
407,22,The accused used a duplicate key/lock-picking method to gain entry.,0.182,3
410,11,The accused used a duplicate key/lock-picking method to gain entry.,0.364,1
411,1,The accused was a person known to the victim's family.,1.0,1
413,1,The accused was a person known to the victim's family.,1.0,1
414,1,The accused gained entry through a rear window left unlatched.,1.0,1
415,1,The accused gained entry through a rear window left unlatched.,1.0,1
417,45,The accused gained entry through a rear window left unlatched.,0.333,2
418,1,The accused used a spoofed phone number to contact the victim.,1.0,1
419,2,The accused used a two-wheeler to approach and flee the scene rapidly.,0.5,1
421,3,The accused wore a helmet throughout to avoid CCTV identification.,0.333,1
422,1,The accused wore a helmet throughout to avoid CCTV identification.,1.0,1
423,1,The accused wore a helmet throughout to avoid CCTV identification.,1.0,1
424,1,The accused was a person known to the victim's family.,1.0,1
425,21,The accused used a concealed compartment in the vehicle to transport the contraband.,0.238,2
428,1,The accused operated in daylight hours near crowded public spaces.,1.0,1
430,1,The accused used a rented vehicle with tampered number plates to transport stolen goods.,1.0,1
431,28,The accused targeted unattended shops during the late-night hours.,0.25,3
432,1,The accused was a person known to the victim's family.,1.0,1
434,3,The accused wore a helmet throughout to avoid CCTV identification.,0.333,1
439,1,"The accused worked in a group of two, one keeping watch while the other broke in.",1.0,1
441,1,The accused wore a helmet throughout to avoid CCTV identification.,1.0,1
442,1,The accused wore a helmet throughout to avoid CCTV identification.,1.0,1
444,1,The accused used a duplicate key/lock-picking method to gain entry.,1.0,1
445,1,The accused waylaid the victim along a known secluded route.,1.0,1
446,1,The accused was found in possession of the contraband during a routine check.,1.0,1
449,1,The accused was found in possession of the contraband during a routine check.,1.0,1
450,18,The accused gained entry through a rear window left unlatched.,0.278,2
452,1,The accused approached the victim through a fake social media profile.,1.0,1
454,1,The accused was known to the victim through a prior personal dispute.,1.0,1
455,9,The accused posed as a bank/delivery representative to gain the victim's trust.,0.333,2
457,1,The accused posed as a bank/delivery representative to gain the victim's trust.,1.0,1
458,1,The accused was a person known to the victim's family.,1.0,1
459,25,The accused gained entry through a rear window left unlatched.,0.28,1
460,2,The accused gained entry through a rear window left unlatched.,0.5,1
461,4,"The accused worked in a group of two, one keeping watch while the other broke in.",0.5,2
462,1,The accused targeted unattended shops during the late-night hours.,1.0,1
464,1,The accused targeted unattended shops during the late-night hours.,1.0,1
465,1,The accused posed as a bank/delivery representative to gain the victim's trust.,1.0,1
466,3,The accused was a person known to the victim's family.,0.333,1
467,14,The accused waylaid the victim along a known secluded route.,0.214,3
468,1,The accused gained entry through a rear window left unlatched.,1.0,1
472,1,The accused was known to the victim through a prior personal dispute.,1.0,1
476,1,The accused posed as a bank/delivery representative to gain the victim's trust.,1.0,1
477,1,The accused posed as a bank/delivery representative to gain the victim's trust.,1.0,1
478,1,The accused posed as a bank/delivery representative to gain the victim's trust.,1.0,1
480,1,The accused wore a helmet throughout to avoid CCTV identification.,1.0,1
481,1,The accused wore a helmet throughout to avoid CCTV identification.,1.0,1
484,1,The accused posed as a bank/delivery representative to gain the victim's trust.,1.0,1
485,2,The accused posed as a bank/delivery representative to gain the victim's trust.,1.0,1
486,1,The accused posed as a bank/delivery representative to gain the victim's trust.,1.0,1
487,1,The accused posed as a bank/delivery representative to gain the victim's trust.,1.0,1
488,2,The accused posed as a bank/delivery representative to gain the victim's trust.,1.0,2
489,1,The accused approached the victim through a fake social media profile.,1.0,1
492,2,The accused approached the victim through a fake social media profile.,0.5,1
494,1,The accused wore a helmet throughout to avoid CCTV identification.,1.0,1
495,2,The accused gained entry through a rear window left unlatched.,1.0,2
497,1,The accused gained entry through a rear window left unlatched.,1.0,1
498,1,The accused gained entry through a rear window left unlatched.,1.0,1
500,1,The accused was known to the victim through a prior personal dispute.,1.0,1
502,1,The accused was a person known to the victim's family.,1.0,1
505,1,The accused posed as a bank/delivery representative to gain the victim's trust.,1.0,1
506,1,The accused lured the victim on the pretext of a job offer.,1.0,1
507,1,The accused gained entry through a rear window left unlatched.,1.0,1
508,2,The accused gained entry through a rear window left unlatched.,1.0,2
509,3,The accused approached the victim through a fake social media profile.,0.667,2
511,2,The accused wore a helmet throughout to avoid CCTV identification.,0.5,1
512,3,The accused wore a helmet throughout to avoid CCTV identification.,0.333,1
517,1,The accused used a duplicate key/lock-picking method to gain entry.,1.0,1
518,1,The accused used a duplicate key/lock-picking method to gain entry.,1.0,1
519,1,The accused targeted unattended shops during the late-night hours.,1.0,1
520,1,"The accused worked in a group of two, one keeping watch while the other broke in.",1.0,1
521,1,The accused targeted unattended shops during the late-night hours.,1.0,1
523,1,The accused posed as a bank/delivery representative to gain the victim's trust.,1.0,1
527,17,The accused gained entry through a rear window left unlatched.,0.176,1
528,1,The accused used a two-wheeler to approach and flee the scene rapidly.,1.0,1
529,1,The accused used a two-wheeler to approach and flee the scene rapidly.,1.0,1
532,4,The accused targeted unattended shops during the late-night hours.,0.5,1
534,1,The accused posed as a bank/delivery representative to gain the victim's trust.,1.0,1
539,1,The accused used a two-wheeler to approach and flee the scene rapidly.,1.0,1
540,1,The accused used a two-wheeler to approach and flee the scene rapidly.,1.0,1
541,1,The accused used a two-wheeler to approach and flee the scene rapidly.,1.0,1
542,3,"The accused worked in a group of two, one keeping watch while the other broke in.",0.333,1
543,5,The accused targeted unattended shops during the late-night hours.,0.4,2
545,10,The accused was known to the victim through a prior personal dispute.,0.3,3
547,3,The accused approached the victim through a fake social media profile.,0.667,2
548,1,The accused approached the victim through a fake social media profile.,1.0,1
549,12,The accused used a two-wheeler to approach and flee the scene rapidly.,0.25,2
550,1,The accused posed as a bank/delivery representative to gain the victim's trust.,1.0,1
551,17,The accused was a person known to the victim's family.,0.176,1
552,17,The accused approached the victim through a fake social media profile.,0.235,3
553,1,The accused approached the victim through a fake social media profile.,1.0,1
554,1,The accused posed as a bank/delivery representative to gain the victim's trust.,1.0,1
556,1,The accused posed as a bank/delivery representative to gain the victim's trust.,1.0,1
557,1,The accused used a duplicate key/lock-picking method to gain entry.,1.0,1
558,1,The accused used a duplicate key/lock-picking method to gain entry.,1.0,1
562,3,The accused posed as a bank/delivery representative to gain the victim's trust.,0.333,1
563,7,The accused used a spoofed phone number to contact the victim.,0.571,3
564,1,The accused waylaid the victim along a known secluded route.,1.0,1
565,2,The accused waylaid the victim along a known secluded route.,0.5,1
566,1,The accused used a two-wheeler to approach and flee the scene rapidly.,1.0,1
569,1,The accused posed as a bank/delivery representative to gain the victim's trust.,1.0,1
570,1,The accused used a two-wheeler to approach and flee the scene rapidly.,1.0,1
572,2,The accused used a two-wheeler to approach and flee the scene rapidly.,0.5,1
573,1,The accused used a two-wheeler to approach and flee the scene rapidly.,1.0,1
577,1,The accused wore a helmet throughout to avoid CCTV identification.,1.0,1
578,1,The accused wore a helmet throughout to avoid CCTV identification.,1.0,1
581,1,The accused was a person known to the victim's family.,1.0,1
582,1,The accused was found in possession of the contraband during a routine check.,1.0,1
583,2,"The accused worked in a group of two, one keeping watch while the other broke in.",0.5,1
584,1,The accused gained entry through a rear window left unlatched.,1.0,1
585,2,The accused gained entry through a rear window left unlatched.,0.5,1
586,2,The accused gained entry through a rear window left unlatched.,0.5,1
587,1,The accused lured the victim on the pretext of a job offer.,1.0,1
588,51,The accused used a rented vehicle with tampered number plates to transport stolen goods.,0.235,1
589,1,The accused gained entry through a rear window left unlatched.,1.0,1
591,1,The accused gained entry through a rear window left unlatched.,1.0,1
594,2,The accused was a person known to the victim's family.,0.5,1
595,1,The accused was a person known to the victim's family.,1.0,1
596,3,The accused was a person known to the victim's family.,0.333,1
597,2,The accused operated using a fraudulent online payment link.,0.5,1
598,2,The accused gained entry through a rear window left unlatched.,1.0,2
602,1,The accused used a rented vehicle with tampered number plates to transport stolen goods.,1.0,1
603,1,The accused used a rented vehicle with tampered number plates to transport stolen goods.,1.0,1
604,1,The accused approached the victim through a fake social media profile.,1.0,1
605,1,The accused acted as part of an organized group during the incident.,1.0,1
606,2,"The accused worked in a group of two, one keeping watch while the other broke in.",0.5,1
608,1,The accused was a person known to the victim's family.,1.0,1
609,1,The accused was a person known to the victim's family.,1.0,1
610,1,The accused used a duplicate key/lock-picking method to gain entry.,1.0,1
611,1,The accused operated using a fraudulent online payment link.,1.0,1
612,1,The accused used a concealed compartment in the vehicle to transport the contraband.,1.0,1
613,2,The accused used a rented vehicle with tampered number plates to transport stolen goods.,0.5,1
614,1,The accused acted as part of an organized group during the incident.,1.0,1
615,1,The accused wore a helmet throughout to avoid CCTV identification.,1.0,1
621,1,The accused approached the victim through a fake social media profile.,1.0,1
623,1,The accused approached the victim through a fake social media profile.,1.0,1
624,2,The accused approached the victim through a fake social media profile.,0.5,1
628,1,The accused approached the victim through a fake social media profile.,1.0,1
631,2,The accused lured the victim on the pretext of a job offer.,1.0,1
632,1,The accused lured the victim on the pretext of a job offer.,1.0,1
633,1,The accused targeted unattended shops during the late-night hours.,1.0,1
634,11,"The accused worked in a group of two, one keeping watch while the other broke in.",0.182,2
635,1,The accused lured the victim on the pretext of a job offer.,1.0,1
